,feature,gender
409,mansoor sindh,1
412,azhar punjab,1
414,abbas sindh,1
416,jawad kpk,1
420,hamid punjab,1
421,muhammadyousaf punjab,1
423,ilyas punjab,1
427,muhammad kpk,1
428,mubashir punjab,1
429,atif punjab,1
436,mehr punjab,1
437,naved sindh,1
438,nashid sindh,1
440,sanaullah kpk,1
442,shahnawaz punjab,1
447,noumanhameed punjab,1
449,fawad punjab,1
452,imtiaz sindh,1
454,ammara punjab,0
459,rehman sindh,1
462,ahsan kpk,1
463,taj kpk,1
465,saad punjab,1
466,ruqayya kpk,0
468,shehroz sindh,1
472,karam kpk,1
474,yaseen sindh,1
477,adam kpk,1
479,rakesh sindh,1
480,suleman sindh,1
482,nor balochistan,1
484,islam kpk,1
485,shazia punjab,0
487,mohammad sindh,1
488,maheesh sindh,1
491,amna punjab,0
492,rehan islamabad,1
494,najma punjab,0
495,ashfaq punjab,1
497,pervaz punjab,1
499,zakaria sindh,1
500,eleshah sindh,1
501,talha punjab,1
503,maqdas punjab,0
505,zohaib punjab,1
507,ijaz punjab,1
508,shoaib sindh,1
509,gopaal sindh,1
510,ajmalkhan kpk,1
512,sabar punjab,1
513,shabab punjab,1
514,abdullah punjab,1
517,mehmood sindh,1
519,khet sindh,1
520,abdul islamabad,1
523,raheel punjab,1
526,suliman sindh,1
527,sohail sindh,1
529,shamim sindh,1
530,shehzad sindh,1
532,mehmood punjab,1
533,asher punjab,1
536,amir sindh,1
537,raja sindh,1
538,ejaz punjab,1
539,asghar punjab,1
540,anas kpk,1
542,abid punjab,1
543,ahmed punjab,1
544,kamran punjab,1
545,arif sindh,1
550,khalid punjab,1
553,zeshan punjab,1
555,iman punjab,0
556,aneel sindh,1
558,shabir punjab,1
560,waqar punjab,1
562,imran sindh,1
564,sharbat sindh,1
566,umer kpk,1
567,tahir kpk,1
571,abdullah kpk,1
580,qadeer punjab,1
585,ahsan punjab,1
588,pervez punjab,1
589,humayyun sindh,1
592,farah punjab,0
593,yu kpk,0
595,kiran punjab,0
598,ayub kpk,1
599,farid sindh,1
600,ajmal kpk,1
603,gul kpk,1
606,arman sindh,1
608,raza sindh,1
611,zafar punjab,1
613,shahan punjab,0
614,husnain punjab,1
615,hussain punjab,1
618,shakeel sindh,1
619,hamza sindh,1
620,amjad sindh,1
622,akbar punjab,1
623,irfan kpk,1
624,humayun punjab,1
627,kartar sindh,1
628,thanwar sindh,1
629,teerath sindh,1
631,munawar punjab,1
634,rameez sindh,1
638,ata punjab,1
639,talha sindh,1
641,akhtar sindh,1
642,rab kpk,1
643,zaheer punjab,1
644,manzoor punjab,1
648,nabel punjab,1
649,nasir sindh,1
650,rais kpk,1
652,shafiq punjab,1
653,muzamil balochistan,1
654,shahid sindh,1
657,ch punjab,1
659,rani punjab,0
660,sana punjab,0
661,mujtaba sindh,1
662,avais sindh,1
666,danial punjab,1
667,umer punjab,1
669,mehrab sindh,1
675,jaffar sindh,1
676,mohabbat sindh,1
680,sohrab sindh,1
682,samiullah kpk,1
684,aftab punjab,1
686,rizwan punjab,1
688,abida punjab,0
689,aqsa punjab,0
690,aneela punjab,0
691,fahad sindh,1
692,zaid sindh,1
696,umair sindh,1
697,saghir sindh,1
698,purkho sindh,1
700,musa kpk,1
702,seema kpk,0
703,amer punjab,1
706,mr sindh,1
707,usama sindh,1
708,yasin punjab,1
711,sazmir kpk,1
712,naveed punjab,1
718,izhar sindh,1
725,haroon sindh,1
727,zeeshan sindh,1
729,afzaal punjab,1
733,kamran kpk,1
734,chand punjab,1
735,maqbool punjab,1
737,anonymes kpk,1
740,wazir kpk,1
743,hira punjab,0
745,afsar sindh,1
746,yasir sindh,1
752,waqass punjab,1
756,hatim sindh,1
757,love sindh,1
758,dostain balochistan,1
759,akhtar punjab,1
760,musafir kpk,1
761,liyaqat punjab,1
762,leslie punjab,1
763,sikander punjab,1
